Embedding,Hidden,k,Loss_final,Accuracy_eval,Precision_eval,Recall_eval,F1_eval,Loss_eval,Loss_tst,Accuracy_tst,Precision_tst,Recall_tst,F1_tst
3,10,2,1.2972253561019897,0.5665064102564101,0.27697298618343447,0.41682309732707606,0.3231159276112126,1.3019384145736694,1.3603248596191406,0.5595238095238095,0.4313242538394668,0.5288505747126437,0.46584249084249085
3,10,3,1.3164836168289185,0.5758547008547008,0.27600483666063236,0.4295721961504454,0.33292134361536735,1.3018372058868408,1.3556815385818481,0.5714285714285714,0.5408255933952528,0.5344061302681993,0.4449974398361495
3,10,4,1.3638447523117065,0.548344017094017,0.2308545969417304,0.37985558502799877,0.2840738713650979,1.3206859827041626,1.3744393587112427,0.5595238095238095,0.3281015037593985,0.48643678160919546,0.38875103391232424
5,10,2,1.3073426485061646,0.5731837606837606,0.2845889285621909,0.43857942823460055,0.3397460393161321,1.3018351793289185,1.3639030456542969,0.5595238095238095,0.32837380011293055,0.512183908045977,0.3943071482156253
5,10,3,1.342650294303894,0.5673076923076923,0.24575181675239127,0.39917023736652385,0.30164539760553305,1.31233549118042,1.3861732482910156,0.5238095238095238,0.3265055427943673,0.4914942528735632,0.3846346280447663
5,10,4,1.4061787128448486,0.5459401709401709,0.20886944915370545,0.3585798816568047,0.26143611464629884,1.3372055292129517,1.4166322946548462,0.4880952380952381,0.20634920634920634,0.4,0.27154150197628457
10,10,2,1.3692290782928467,0.547542735042735,0.2143048832107223,0.36222312906663034,0.2649745728862851,1.3265209197998047,1.3931770324707031,0.5595238095238095,0.32173913043478264,0.48643678160919546,0.38652498418722325
10,10,3,1.416955590248108,0.5483440170940169,0.20638640817011195,0.36124260355029575,0.26211120005397687,1.3411619663238525,1.4274975061416626,0.47619047619047616,0.21597892888498685,0.3833333333333333,0.2725574712643678
10,10,4,1.5658364295959473,0.4027777777777778,0.08055555555555556,0.19999999999999993,0.11485148514851487,1.5218154191970825,1.554553747177124,0.34523809523809523,0.06904761904761905,0.2,0.10265486725663715
15,10,2,1.4569132328033447,0.47702991452991444,0.1477259409098422,0.2822485207100592,0.190162849940868,1.3833463191986084,1.4575070142745972,0.47619047619047616,0.21597892888498685,0.3833333333333333,0.2725574712643678
15,10,3,1.4358882904052734,0.518696581196581,0.18182656407044417,0.3284023668639052,0.23272892259407207,1.3564133644104004,1.440575361251831,0.47619047619047616,0.21597892888498685,0.3833333333333333,0.2725574712643678
15,10,4,1.565955400466919,0.4027777777777778,0.08055555555555556,0.19999999999999993,0.11485148514851487,1.5210644006729126,1.5544804334640503,0.34523809523809523,0.06904761904761905,0.2,0.10265486725663715
3,20,2,1.2742315530776978,0.577190170940171,0.319168855639198,0.42921966038676906,0.34310138765275777,1.2910155057907104,1.3525710105895996,0.5595238095238095,0.43468559837728193,0.5232950191570881,0.4518504484021726
3,20,3,1.2868133783340454,0.5683760683760682,0.2759937155154956,0.413294339023782,0.31985499828657804,1.28701913356781,1.354310393333435,0.5595238095238095,0.43468559837728193,0.5232950191570881,0.4518504484021726
3,20,4,1.317557454109192,0.5641025641025641,0.2645435345243792,0.4149856038450203,0.3194709228488889,1.3037747144699097,1.3714163303375244,0.5595238095238095,0.44155597722960155,0.5177394636015326,0.4361209005886667
5,20,2,1.3163657188415527,0.5715811965811965,0.2839877952389902,0.42270738398059343,0.3291176062351556,1.3017470836639404,1.3551157712936401,0.5476190476190477,0.32703853955375256,0.4955172413793103,0.3898809523809524
5,20,3,1.28725266456604,0.5715811965811964,0.2841175694573479,0.4240540479267269,0.3329394563225909,1.2970082759857178,1.360475778579712,0.5357142857142857,0.3223016974484894,0.4788505747126437,0.3814132104454685
5,20,4,1.3392657041549683,0.5651709401709402,0.23293035896374487,0.38880047155909225,0.28961176732555466,1.3132069110870361,1.3819563388824463,0.5476190476190477,0.32703853955375256,0.4955172413793103,0.3898809523809524
10,20,2,1.4009531736373901,0.5523504273504273,0.20881955643095862,0.365680473372781,0.26536685102739893,1.3466888666152954,1.4085092544555664,0.4880952380952381,0.2212121212121212,0.4,0.28210526315789475
10,20,3,1.408037781715393,0.5528846153846152,0.2095454509917882,0.3662721893491124,0.2661443912587958,1.340217113494873,1.4208285808563232,0.47619047619047616,0.21597892888498685,0.3833333333333333,0.2725574712643678
10,20,4,1.4472203254699707,0.5197649572649571,0.18189798346912386,0.32958579881656797,0.23328342086936452,1.3715273141860962,1.4519946575164795,0.47619047619047616,0.21597892888498685,0.3833333333333333,0.2725574712643678
15,20,2,1.4657204151153564,0.4687499999999999,0.1387540389389556,0.2730769230769231,0.18224587764047406,1.3881642818450928,1.4679738283157349,0.47619047619047616,0.21597892888498685,0.3833333333333333,0.2725574712643678
15,20,3,1.512864589691162,0.41185897435897423,0.09012587117751655,0.21005917159763318,0.1250480397721797,1.445648193359375,1.511038064956665,0.47619047619047616,0.22279411764705884,0.3833333333333333,0.27673048600883654
15,20,4,1.5163116455078125,0.4155982905982907,0.09430210755945091,0.21420118343195269,0.12956419355770754,1.4491276741027832,1.514311671257019,0.4642857142857143,0.21739130434782608,0.3666666666666667,0.2665154950869236
3,50,2,1.2533435821533203,0.5779914529914529,0.3300640657976915,0.44177378766238173,0.36589044007301796,1.2956922054290771,1.3491655588150024,0.5714285714285714,0.4725940951093081,0.5399616858237548,0.46571428571428564
3,50,3,1.2650700807571411,0.5841346153846154,0.3404096062344799,0.44215806298034405,0.35991129452809145,1.2874919176101685,1.3537710905075073,0.5595238095238095,0.43468559837728193,0.5232950191570881,0.4518504484021726
3,50,4,1.2900890111923218,0.5771901709401709,0.2989451378792946,0.4251207236618377,0.33511013539983925,1.29500150680542,1.353925108909607,0.5595238095238095,0.4367320261437909,0.5177394636015326,0.4331890331890332
5,50,2,1.2540515661239624,0.5702457264957265,0.31074132889367895,0.4309676029835181,0.34979721715416534,1.2938288450241089,1.3441698551177979,0.5476190476190477,0.32703853955375256,0.4955172413793103,0.3898809523809524
5,50,3,1.2736432552337646,0.5766559829059829,0.3029838263228305,0.4264333809426647,0.34037375247506463,1.2935384511947632,1.3524349927902222,0.5476190476190477,0.4095385395537526,0.5066283524904215,0.43809523809523804
5,50,4,1.336487889289856,0.5582264957264956,0.233475939990035,0.3815026411843388,0.2870783130344201,1.315244436264038,1.3702224493026733,0.5476190476190477,0.32703853955375256,0.4955172413793103,0.3898809523809524
10,50,2,1.3395012617111206,0.5705128205128205,0.25557153017409945,0.40546373755922815,0.30842845138678354,1.3272695541381836,1.3772563934326172,0.5357142857142857,0.32941176470588235,0.482183908045977,0.38830533451223104
10,50,3,1.3916212320327759,0.5606303418803418,0.2199364263043509,0.37485207100591705,0.27417564189062277,1.3388274908065796,1.411236047744751,0.47619047619047616,0.21729055258467023,0.3833333333333333,0.27382940108892917
10,50,4,1.413070797920227,0.5550213675213674,0.21171476607770903,0.3686390532544378,0.26845035536876655,1.3364996910095215,1.4211839437484741,0.47619047619047616,0.21597892888498685,0.3833333333333333,0.2725574712643678
15,50,2,1.419069766998291,0.5528846153846152,0.20946681273435014,0.3662721893491124,0.266098574705678,1.340748906135559,1.4272687435150146,0.47619047619047616,0.21597892888498685,0.3833333333333333,0.2725574712643678
15,50,3,1.4343866109848022,0.5069444444444443,0.17148179355057416,0.3153846153846154,0.22086018100038057,1.3515961170196533,1.435799241065979,0.47619047619047616,0.21597892888498685,0.3833333333333333,0.2725574712643678
15,50,4,1.4668629169464111,0.4778311965811965,0.14944156814202075,0.28313609467455625,0.19286520012766678,1.389750361442566,1.4705387353897095,0.47619047619047616,0.22279411764705884,0.3833333333333333,0.27673048600883654
